Experiment;ID;Sex;Age_Days;ConContext;Identity_change;Location_change;ConSoc;ConOut;Condition;ObjectPos;ObjectPosAct;TrialRun;TrialCon;LTScreenOut;LTObjectOut;FirstLookDurationObjectOut;FirstLookDurationScreen;TotalLTScreenAct;TotalLTObjectAct;TotalLTActorAct;TotalLTFaceAct;TotalLTObjectOut;OutcomeDuration;trial_valid;trial_LOB_Act;Actor;Object
1;5;M;280;0;1;0;NCOM;IDENTITY;5;0;0;2;1;8176;3430;1449;4013;11893;700;11193;11060;5977;15142;1;1;A2;OBJ-16
1;5;M;280;1;1;0;COM;IDENTITY;2;0;1;3;1;4064;3415;2965;3697;14207;0;13807;13807;7195;15144;1;0;A1;OBJ-5
1;5;M;280;0;0;0;NCOM;NO;4;1;0;4;1;4730;3763;1299;1299;12310;300;10960;10544;5544;15117;1;1;A2;OBJ-8
1;5;M;280;0;0;1;NCOM;LOCATION;6;1;1;5;1;3797;2731;1848;1848;11825;2665;9043;9043;2731;9789;1;1;A2;OBJ-3
1;5;M;280;1;0;0;COM;NO;1;1;1;6;1;2232;2232;2282;2282;9993;1882;7795;7795;4547;15071;1;1;A1;OBJ-13
1;5;M;280;1;1;0;COM;IDENTITY;2;1;0;7;2;3847;3847;3897;3897;12190;133;8144;8144;10875;15154;1;1;A1;OBJ-6
1;5;M;280;0;0;1;NCOM;LOCATION;6;0;0;8;2;3996;3064;966;3931;13691;300;13391;13224;7038;15134;1;1;A2;OBJ-4
1;5;M;280;1;0;0;COM;NO;1;0;0;9;2;1716;1716;600;600;8243;1049;7194;6511;8288;15133;1;1;A1;OBJ-14
1;5;M;280;0;0;0;NCOM;NO;4;0;1;10;2;10972;6744;1150;5896;13591;0;12741;12741;7124;15136;1;0;A2;OBJ-7
1;5;M;280;0;1;0;NCOM;IDENTITY;5;1;1;11;2;3781;3715;3098;4214;9911;0;9761;9411;6407;15116;1;0;A2;OBJ-15
1;5;M;280;1;0;1;COM;LOCATION;3;1;1;12;2;2014;2014;1515;1515;13756;1582;12174;12174;4212;15116;1;1;A1;OBJ-1
1;6;F;278;0;0;1;NCOM;LOCATION;6;1;0;1;1;2847;1631;533;2331;12209;0;12209;12026;1631;15157;1;0;A1;OBJ-10
1;6;F;278;1;0;0;COM;NO;1;1;1;2;1;2032;716;299;2231;13690;217;13290;12358;2065;15156;1;1;A2;OBJ-7
1;6;F;278;0;1;0;NCOM;IDENTITY;5;0;0;3;1;2864;2081;583;1965;13024;350;12674;11092;3996;15126;1;1;A1;OBJ-2
1;6;F;278;1;1;0;COM;IDENTITY;2;0;0;4;1;1483;633;333;1649;13975;0;13775;12942;4347;15113;1;0;A2;OBJ-4
1;6;F;278;0;0;0;NCOM;NO;4;1;1;5;1;2732;1966;616;1981;14575;183;14392;13725;3698;15131;1;1;A1;OBJ-5
1;6;F;278;1;0;1;COM;LOCATION;3;0;1;6;1;1731;1165;499;1915;13208;0;12160;11111;4662;15153;1;0;A2;OBJ-11
1;6;F;278;0;1;0;NCOM;IDENTITY;5;1;1;7;2;999;383;383;1233;14506;0;14506;13523;383;15135;1;0;A1;OBJ-1
1;6;F;278;1;0;0;COM;NO;1;0;0;8;2;1282;433;450;1416;13374;0;13241;12658;433;9222;1;0;A2;OBJ-8
1;6;F;278;1;0;1;COM;LOCATION;3;1;0;9;2;1914;1598;483;1332;11508;0;11009;10360;2947;15153;1;0;A2;OBJ-12
1;6;F;278;0;0;0;NCOM;NO;4;0;0;10;2;4664;2815;683;1316;13441;0;13441;13075;2815;14080;1;0;A1;OBJ-6
1;6;F;278;0;0;1;NCOM;LOCATION;6;0;1;11;2;4215;2599;1100;1100;14406;0;14406;14406;3281;15105;1;0;A1;OBJ-9
1;6;F;278;1;1;0;COM;IDENTITY;2;1;1;12;2;1449;233;233;1216;14076;0;14076;13676;766;15153;1;0;A2;OBJ-3
1;7;M;301;1;1;0;COM;IDENTITY;2;1;1;1;1;2664;2664;999;999;13708;0;13458;11160;5945;15126;1;0;A1;OBJ-1
1;7;M;301;0;0;1;NCOM;LOCATION;6;0;1;2;1;8355;7539;1616;7229;13274;100;13174;13024;7539;15150;1;1;A2;OBJ-7
1;7;M;301;1;0;0;COM;NO;1;0;0;3;1;1666;1299;650;1099;12641;483;12025;12025;2931;15133;1;1;A2;OBJ-16
1;7;M;301;0;1;0;NCOM;IDENTITY;5;1;0;4;1;4563;4130;2165;2165;14092;0;10960;10960;4230;15148;1;0;A1;OBJ-6
1;7;M;301;1;0;1;COM;LOCATION;3;1;1;5;1;1516;1516;1533;1533;12592;267;12325;12059;3502;15093;1;1;A1;OBJ-13
1;7;M;301;0;0;0;NCOM;NO;4;0;0;6;1;1615;1482;1299;1299;12990;1930;11060;10910;1765;15153;1;1;A2;OBJ-4
1;7;M;301;0;0;0;NCOM;NO;4;1;1;7;2;5645;5162;1165;1165;5396;0;5396;5396;5162;15157;1;0;A2;OBJ-3
1;7;M;301;0;1;0;NCOM;IDENTITY;5;0;1;8;2;766;516;516;782;10775;133;9943;9693;2765;15129;1;1;A1;OBJ-5
1;7;M;301;1;0;1;COM;LOCATION;3;0;0;9;2;2332;1815;899;3747;8044;550;7494;7011;1815;8776;1;1;A1;OBJ-14
1;7;M;301;1;0;0;COM;NO;1;1;1;10;2;3797;3631;1049;2682;6145;0;6145;6145;3631;15122;1;0;A2;OBJ-15
1;7;M;301;1;1;0;COM;IDENTITY;2;0;0;11;2;6264;5831;4647;4647;14106;8160;5796;5796;7747;15157;1;1;A1;OBJ-2
1;7;M;301;0;0;1;NCOM;LOCATION;6;1;0;12;2;1899;1899;1932;1932;10561;0;10061;9528;1899;8153;1;0;A2;OBJ-8
1;8;F;283;0;1;0;NCOM;IDENTITY;5;0;1;1;1;6230;4680;1099;1365;13656;0;7211;7211;7512;15136;1;0;A1;OBJ-9
1;8;F;283;1;0;1;COM;LOCATION;3;1;1;2;1;3546;3097;1232;1598;12475;850;11625;11625;5178;15167;1;1;A2;OBJ-3
1;8;F;283;1;0;0;COM;NO;1;0;0;3;1;3780;3414;816;1032;10125;3247;6512;6512;4930;15134;1;1;A2;OBJ-8
1;8;F;283;1;1;0;COM;IDENTITY;2;1;1;4;1;2882;2882;1765;1765;13271;3430;9841;9841;2882;8895;1;1;A1;OBJ-5
1;8;F;283;0;0;1;NCOM;LOCATION;6;1;0;5;1;2931;2931;1915;1915;8394;0;5945;5945;4763;15145;1;0;A2;OBJ-12
1;8;F;283;0;0;0;NCOM;NO;4;0;0;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;15147;0;0;A1;OBJ-2
1;8;F;283;1;1;0;COM;IDENTITY;2;0;0;7;2;4813;4380;3798;4297;12542;5581;6961;6961;4380;10543;1;1;A1;OBJ-6
1;8;F;283;0;0;1;NCOM;LOCATION;6;0;1;8;2;2381;1349;749;1416;6845;0;6845;6845;1349;9193;1;0;A2;OBJ-11
1;8;F;283;0;0;0;NCOM;NO;4;1;1;9;2;950;950;633;633;9879;2666;7213;7213;1383;10340;1;1;A1;OBJ-1
1;8;F;283;1;0;0;COM;NO;1;1;1;10;2;2582;2365;1132;1132;6263;2566;3697;3697;2365;9282;1;1;A2;OBJ-7
1;8;F;283;1;0;1;COM;LOCATION;3;0;0;11;2;1233;1016;450;733;7030;1433;5597;5597;2165;15104;1;1;A2;OBJ-4
1;8;F;283;0;1;0;NCOM;IDENTITY;5;1;0;12;2;599;599;616;616;5663;0;5663;5380;599;8781;1;0;A1;OBJ-10
1;9;M;298;1;1;0;COM;IDENTITY;2;1;1;1;1;2481;1948;1982;2465;14504;982;13522;13522;1948;15140;1;1;A1;OBJ-5
1;9;M;298;1;0;0;COM;NO;1;0;0;2;1;5197;4397;533;849;12926;1033;11760;11760;4397;15147;1;1;A1;OBJ-10
1;9;M;298;0;0;1;NCOM;LOCATION;6;0;1;3;1;3114;2348;616;2981;11824;0;11824;11641;3997;15139;1;0;A2;OBJ-15
1;9;M;298;0;0;0;NCOM;NO;4;1;1;4;1;3897;1682;1316;2698;10658;999;9127;9127;2681;15113;1;1;A2;OBJ-11
1;9;M;298;1;0;1;COM;LOCATION;3;1;0;5;1;3215;933;949;2215;8161;0;7012;7012;1800;15122;1;0;A1;OBJ-14
1;9;M;298;0;1;0;NCOM;IDENTITY;5;0;0;6;1;1283;417;433;433;6013;0;6013;6013;867;15152;1;0;A2;OBJ-8
1;9;M;298;0;0;1;NCOM;LOCATION;6;1;0;7;2;683;683;949;2098;7812;0;7812;7679;1133;15132;1;0;A2;OBJ-16
1;9;M;298;1;0;0;COM;NO;1;1;1;8;2;2015;1399;783;1099;7296;0;7296;7296;2232;15152;1;0;A1;OBJ-9
1;9;M;298;0;1;0;NCOM;IDENTITY;5;1;1;9;2;983;783;783;783;10377;600;8943;8943;4081;15139;1;1;A2;OBJ-7
1;9;M;298;0;0;0;NCOM;NO;4;0;0;10;2;699;516;516;782;6163;0;6163;5813;516;15133;1;0;A2;OBJ-12
1;9;M;298;1;0;1;COM;LOCATION;3;0;1;11;2;2250;1183;650;1416;12157;0;11724;11724;1183;8802;1;0;A1;OBJ-13
1;9;M;298;1;1;0;COM;IDENTITY;2;0;0;12;2;1149;633;633;633;11759;0;11759;11759;633;8431;1;0;A1;OBJ-6
1;10;F;291;0;1;0;NCOM;IDENTITY;5;0;0;1;1;3249;2532;816;1250;13258;0;13058;13058;5369;15162;1;0;A1;OBJ-10
1;10;F;291;1;1;0;COM;IDENTITY;2;1;0;2;1;4048;3065;1699;5496;13642;0;10927;10927;4281;15123;1;0;A1;OBJ-2
1;10;F;291;1;0;1;COM;LOCATION;3;1;1;3;1;3366;2416;1282;3747;13809;867;12875;12875;3182;15170;1;1;A2;OBJ-15
1;10;F;291;0;0;0;NCOM;NO;4;0;0;4;1;2033;683;683;1132;11758;0;11608;11608;2698;15127;1;0;A2;OBJ-12
1;10;F;291;1;0;0;COM;NO;1;1;1;5;1;1481;1032;1066;1599;10960;1116;9727;9727;1182;12346;1;1;A1;OBJ-13
1;10;F;291;0;0;1;NCOM;LOCATION;6;0;1;6;1;1483;1483;1516;1516;13375;0;13375;13375;2882;15167;1;0;A2;OBJ-3
1;10;F;291;0;1;0;NCOM;IDENTITY;5;1;1;7;2;2282;2032;1216;1533;7112;0;6479;6479;2665;15143;1;0;A1;OBJ-9
1;10;F;291;1;0;1;COM;LOCATION;3;0;0;8;2;1833;1250;816;1465;6645;749;5296;5296;1250;7369;1;1;A2;OBJ-16
1;10;F;291;1;1;0;COM;IDENTITY;2;0;1;9;2;1882;1166;600;1083;7261;0;6611;6611;1166;10014;1;0;A1;OBJ-1
1;10;F;291;0;0;0;NCOM;NO;4;1;1;10;2;2865;1549;1266;3148;7960;1182;6778;6262;1549;8236;1;1;A2;OBJ-11
1;10;F;291;0;0;1;NCOM;LOCATION;6;1;0;11;2;1216;616;616;1282;8543;0;7694;7311;616;14510;1;0;A2;OBJ-4
1;10;F;291;1;0;0;COM;NO;1;0;0;12;2;2083;1550;649;1316;2550;300;2250;2250;4864;15136;1;1;A1;OBJ-14
1;11;M;277;0;1;0;NCOM;IDENTITY;5;0;0;1;1;5629;3147;2714;2714;11959;3215;8061;8061;5304;15131;1;1;A1;OBJ-2
1;11;M;277;1;0;1;COM;LOCATION;3;0;0;2;1;4030;3780;2631;2631;12425;466;11509;11209;6291;15118;1;1;A2;OBJ-16
1;11;M;277;0;0;1;NCOM;LOCATION;6;0;1;3;1;5247;2149;2199;2715;11243;0;9394;9394;5313;15149;1;0;A1;OBJ-5
1;11;M;277;1;0;0;COM;NO;1;1;0;4;1;1965;1782;1499;1499;11857;0;11208;10792;2948;15126;1;0;A2;OBJ-8
1;11;M;277;0;0;0;NCOM;NO;4;1;1;5;1;8211;7428;1332;1332;9911;716;9195;8995;7428;15156;1;1;A2;OBJ-3
1;11;M;277;1;1;0;COM;IDENTITY;2;1;1;6;1;2465;2265;1649;1649;14789;0;14789;13706;3048;15102;1;0;A1;OBJ-13
1;11;M;277;0;0;1;NCOM;LOCATION;6;1;0;7;2;3565;2616;1049;2115;14074;0;12825;12825;3266;15132;1;0;A1;OBJ-6
1;11;M;277;0;0;0;NCOM;NO;4;0;0;8;2;4862;3764;1316;3248;10340;1449;8375;8375;5446;15135;1;1;A2;OBJ-4
1;11;M;277;1;1;0;COM;IDENTITY;2;0;0;9;2;2948;2948;2964;2964;14722;1232;13490;13490;9144;15143;1;1;A1;OBJ-14
1;11;M;277;1;0;0;COM;NO;1;0;1;10;2;5862;5462;1099;2199;13159;0;13159;13159;5462;15152;1;0;A2;OBJ-7
1;11;M;277;1;0;1;COM;LOCATION;3;1;1;11;2;7795;5596;2165;2165;14441;649;13609;13609;7112;15153;1;1;A2;OBJ-15
1;11;M;277;0;1;0;NCOM;IDENTITY;5;1;1;12;2;1632;1632;799;799;11809;0;11809;11292;3945;15128;1;0;A1;OBJ-1
1;12;M;284;0;0;1;NCOM;LOCATION;6;1;0;1;1;12889;12556;6114;6279;11709;699;8077;8077;12556;15135;1;1;A1;OBJ-10
1;12;M;284;1;0;0;COM;NO;1;1;1;2;1;8693;8443;1815;7178;13091;4046;8862;8629;8443;15131;1;1;A2;OBJ-7
1;12;M;284;0;1;0;NCOM;IDENTITY;5;0;0;3;1;3282;2549;2565;566;11259;3597;6729;6513;5581;15130;1;1;A1;OBJ-2
1;12;M;284;1;1;0;COM;IDENTITY;2;0;0;4;1;3363;1415;2598;649;12157;1798;8478;8478;3247;15130;1;1;A2;OBJ-4
1;12;M;284;0;0;0;NCOM;NO;4;1;1;5;1;5696;5113;4314;2298;10244;1684;8327;8327;5346;15128;1;1;A1;OBJ-5
1;12;M;284;1;0;1;COM;LOCATION;3;0;1;6;1;2365;1582;1616;2598;10242;0;8460;8460;4146;15155;1;0;A2;OBJ-11
1;12;M;284;0;1;0;NCOM;IDENTITY;5;1;1;7;2;3347;3181;3264;3630;11926;633;11293;11293;3181;10926;1;1;A1;OBJ-1
1;12;M;284;1;0;0;COM;NO;1;0;0;8;2;2864;2165;2182;2998;12959;3448;9228;9028;3763;15121;1;1;A2;OBJ-8
1;12;M;284;1;0;1;COM;LOCATION;3;1;0;9;2;2215;1732;1632;1632;7844;0;5297;5030;2865;15151;1;0;A2;OBJ-12
1;12;M;284;0;0;0;NCOM;NO;4;0;0;10;2;2030;1199;1199;2415;9144;2698;6446;6213;2765;15159;1;1;A1;OBJ-6
1;12;M;284;0;0;1;NCOM;LOCATION;6;0;1;11;2;2631;1965;2015;2781;9544;0;9278;9278;3298;15138;1;0;A1;OBJ-9
1;12;M;284;1;1;0;COM;IDENTITY;2;1;1;12;2;1466;1349;1366;1732;9429;2398;6148;6148;1516;13092;1;1;A2;OBJ-3
1;14;F;276;0;0;1;NCOM;LOCATION;6;0;1;1;1;2215;1016;549;2481;9642;0;6728;6728;2209;15117;1;0;A1;OBJ-9
1;14;F;276;1;1;0;COM;IDENTITY;2;1;1;2;1;5861;4379;800;4630;11256;1398;9858;9376;6028;15135;1;1;A2;OBJ-3
1;14;F;276;1;0;0;COM;NO;1;0;0;3;1;7014;383;383;2399;10359;466;9410;9210;3216;15171;1;1;A2;OBJ-8
1;14;F;276;0;0;0;NCOM;NO;4;1;1;4;1;10612;7014;599;2898;14209;1616;12593;12593;7014;15128;1;1;A1;OBJ-5
1;14;F;276;1;0;1;COM;LOCATION;3;1;0;5;1;5778;4629;650;6129;11457;283;10758;10608;5079;15146;1;1;A2;OBJ-12
1;14;F;276;0;1;0;NCOM;IDENTITY;5;0;0;6;1;1949;1366;766;2081;11228;0;8862;8862;1750;10335;1;0;A1;OBJ-2
1;14;F;276;0;0;0;NCOM;NO;4;0;0;7;2;1917;1917;1233;1233;11476;3148;8045;7795;3783;15140;1;1;A1;OBJ-6
1;14;F;276;1;0;1;COM;LOCATION;3;0;1;8;2;3446;2664;1316;1316;9794;0;9794;9794;2664;15136;1;0;A2;OBJ-11
1;14;F;276;0;1;0;NCOM;IDENTITY;5;1;1;9;2;2598;2382;1949;1949;8540;1514;6344;6344;2382;10407;1;1;A1;OBJ-1
1;14;F;276;1;0;0;COM;NO;1;1;1;10;2;1600;1266;1283;1600;5329;916;4413;4130;3530;15152;1;1;A2;OBJ-7
1;14;F;276;1;1;0;COM;IDENTITY;2;0;0;11;2;2613;2480;2115;2115;8428;0;8428;8428;2480;12009;1;0;A2;OBJ-4
1;14;F;276;0;0;1;NCOM;LOCATION;6;1;0;12;2;2631;1965;1416;1916;6444;0;6444;6228;1965;8694;1;0;A1;OBJ-10
1;15;M;276;1;1;0;COM;IDENTITY;2;1;1;1;1;3364;2198;1199;3597;10594;0;10177;10177;3247;15130;1;0;A1;OBJ-5
1;15;M;276;1;0;0;COM;NO;1;0;0;2;1;4681;3216;833;1998;10208;433;8043;8043;4083;14753;1;1;A1;OBJ-10
1;15;M;276;0;0;1;NCOM;LOCATION;6;0;1;3;1;2764;1865;683;1249;12458;0;12458;12458;3298;15136;1;0;A2;OBJ-15
1;15;M;276;0;0;0;NCOM;NO;4;1;1;4;1;3948;2998;833;2465;14557;0;14557;14557;3248;15152;1;0;A2;OBJ-11
1;15;M;276;1;0;1;COM;LOCATION;3;1;0;5;1;3498;3265;1265;3164;11577;0;11260;11260;3981;13923;1;0;A1;OBJ-14
1;15;M;276;0;1;0;NCOM;IDENTITY;5;0;0;6;1;1617;1150;533;1083;13058;100;12775;12775;2583;14989;1;1;A2;OBJ-8
1;15;M;276;0;0;1;NCOM;LOCATION;6;1;0;7;2;2032;983;999;2282;14423;0;14423;14423;983;8455;1;0;A2;OBJ-16
1;15;M;276;1;0;0;COM;NO;1;1;1;8;2;1516;1349;1166;1399;14023;0;14023;14023;1349;9026;1;0;A1;OBJ-9
1;15;M;276;0;1;0;NCOM;IDENTITY;5;1;1;9;2;2065;1083;1083;2148;14491;417;14074;14074;1083;8350;1;1;A2;OBJ-7
1;15;M;276;0;0;0;NCOM;NO;4;0;0;10;2;816;816;816;816;5812;0;5812;5812;1816;15144;1;0;A2;OBJ-12
1;15;M;276;1;0;1;COM;LOCATION;3;0;1;11;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;15091;0;0;A1;OBJ-13
1;15;M;276;1;1;0;COM;IDENTITY;2;0;0;12;2;1766;1599;1599;1766;8894;1116;7778;7778;1599;7737;1;1;A1;OBJ-6
1;16;M;284;1;1;0;COM;IDENTITY;2;0;0;1;1;8562;6746;1533;2615;14108;2199;11909;11909;6746;15146;1;1;A1;OBJ-10
1;16;M;284;0;0;1;NCOM;LOCATION;6;1;0;2;1;8761;6578;649;2631;14509;0;13876;13876;6578;15162;1;0;A1;OBJ-2
1;16;M;284;1;0;1;COM;LOCATION;3;1;1;3;1;9443;3082;550;2898;14557;900;13657;13657;7861;15121;1;1;A2;OBJ-15
1;16;M;284;1;0;0;COM;NO;1;0;0;4;1;12735;11453;899;1632;12258;1733;10209;9693;11453;15152;1;1;A2;OBJ-12
1;16;M;284;0;0;0;NCOM;NO;4;1;1;5;1;10576;7113;766;3048;14392;633;13593;13593;7113;15090;1;1;A1;OBJ-13
1;16;M;284;0;1;0;NCOM;IDENTITY;5;0;1;6;1;7828;5446;1433;1866;12425;0;7612;7112;5446;15150;1;0;A2;OBJ-3
1;16;M;284;1;1;0;COM;IDENTITY;2;1;1;7;2;4681;2932;1716;5279;14440;1999;12258;12258;4465;15135;1;1;A1;OBJ-9
1;16;M;284;1;0;1;COM;LOCATION;3;0;0;8;2;2466;2116;1649;2048;9212;2066;6996;6996;4232;15159;1;1;A2;OBJ-16
1;16;M;284;0;0;1;NCOM;LOCATION;6;0;1;9;2;2566;1799;1848;2665;14040;0;11508;11508;3082;15141;1;0;A1;OBJ-1
1;16;M;284;1;0;0;COM;NO;1;1;1;10;2;2998;1982;1032;3164;10359;1449;8910;8727;2765;13691;1;1;A2;OBJ-11
1;16;M;284;0;1;0;NCOM;IDENTITY;5;1;0;11;2;10864;6828;1682;2648;8844;0;8161;8161;6828;15145;1;0;A2;OBJ-4
